cdn_event_id,server_region,latency,packet_loss,buffering_spike,failure_code,event_timestamp
CDN000000001,USA,453.06,5.17,TRUE,400,2023-01-26 04:23:33
CDN000000002,USA,17.79,7.31,FALSE,400,2024-07-25 03:04:06
CDN000000003,Canada,419.73,4.38,TRUE,200,2026-01-12 14:53:04
CDN000000004,UK,96.88,7.62,FALSE,502,2023-04-15 04:34:45
CDN000000005,Germany,284.89,4.01,TRUE,500,2026-06-16 18:59:43
CDN000000006,Canada,288.42,8.23,TRUE,500,2025-04-16 21:39:05
CDN000000007,Singapore,360.34,0.29,TRUE,200,2026-05-06 03:07:41
CDN000000008,Japan,31.84,0.90,FALSE,400,2023-02-22 04:30:33
CDN000000009,Germany,389.99,0.21,TRUE,200,2023-08-06 01:17:46
CDN000000010,USA,447.88,5.17,FALSE,200,2023-02-24 23:18:29
CDN000000011,India,407.87,1.78,TRUE,200,2026-06-20 01:14:29
CDN000000012,India,275.64,0.05,TRUE,500,2025-04-20 10:31:56
CDN000000013,Australia,66.78,4.40,FALSE,200,2025-01-11 18:39:14
CDN000000014,USA,417.75,9.83,TRUE,504,2024-11-16 13:06:06
CDN000000015,UK,209.85,5.70,FALSE,200,2025-12-18 19:34:15
CDN000000016,Canada,87.70,3.86,FALSE,200,2024-03-04 07:50:27
CDN000000017,Japan,221.40,7.84,FALSE,200,2023-04-11 22:16:17
CDN000000018,Japan,198.83,1.96,FALSE,200,2025-06-08 04:18:49
CDN000000019,USA,433.23,5.73,TRUE,200,2025-10-26 11:05:21
CDN000000020,UK,282.55,0.24,TRUE,200,2026-05-29 12:22:08
CDN000000021,Singapore,274.40,6.78,TRUE,200,2023-07-21 06:10:20
CDN000000022,Germany,414.55,1.66,TRUE,200,2025-03-03 20:57:49
CDN000000023,USA,378.29,7.15,FALSE,400,2024-10-04 23:21:09
CDN000000024,Germany,394.03,9.12,TRUE,400,2026-01-04 09:55:56
CDN000000025,UK,282.18,4.82,TRUE,200,2023-11-19 22:28:04
CDN000000026,UK,99.55,0.25,FALSE,200,2026-06-26 22:19:06
CDN000000027,UK,321.77,2.46,TRUE,200,2023-01-07 04:15:46
CDN000000028,India,196.14,3.07,FALSE,504,2024-08-12 01:11:41
CDN000000029,India,212.72,9.98,FALSE,500,2025-10-22 08:29:01
CDN000000030,USA,84.68,0.34,FALSE,200,2024-09-02 18:44:49
CDN000000031,Japan,136.86,8.22,FALSE,200,2024-06-13 09:33:32
CDN000000032,Singapore,426.06,2.05,TRUE,200,2024-04-20 23:48:27
CDN000000033,India,381.23,8.10,TRUE,400,2025-06-07 06:10:03
CDN000000034,USA,277.78,2.62,TRUE,200,2024-05-12 22:55:19
CDN000000035,Singapore,199.65,8.88,FALSE,200,2023-07-04 01:49:46
CDN000000036,USA,29.85,7.20,FALSE,504,2023-01-02 17:46:06
CDN000000037,Japan,262.07,1.71,TRUE,400,2024-01-25 09:39:02
CDN000000038,Australia,40.94,2.88,FALSE,200,2024-06-08 22:06:16
CDN000000039,Germany,429.32,2.92,TRUE,200,2023-09-08 20:57:05
CDN000000040,Germany,398.48,1.03,TRUE,200,2024-07-25 18:35:04
CDN000000041,Japan,121.51,6.22,FALSE,200,2025-04-03 12:04:28
CDN000000042,Japan,343.60,0.41,TRUE,200,2024-06-20 10:48:03
CDN000000043,India,165.39,1.29,FALSE,200,2023-10-21 06:51:59
CDN000000044,Australia,238.49,7.73,FALSE,400,2026-05-29 12:12:52
CDN000000045,India,246.62,9.63,FALSE,200,2023-06-27 09:28:42
CDN000000046,Japan,357.03,4.99,TRUE,200,2023-09-16 14:37:45
CDN000000047,Singapore,340.45,7.75,TRUE,500,2024-07-26 04:00:46
CDN000000048,USA,309.18,8.72,TRUE,200,2026-03-11 11:14:56
CDN000000049,USA,243.05,8.14,FALSE,502,2023-09-05 05:39:20
CDN000000050,USA,415.62,8.81,FALSE,200,2025-02-21 17:28:16
CDN000000051,UK,261.50,1.07,TRUE,500,2023-04-30 23:28:59
CDN000000052,Germany,479.84,5.16,FALSE,200,2025-01-04 02:19:04
CDN000000053,Germany,264.87,9.94,TRUE,200,2026-02-18 14:53:40
CDN000000054,Canada,317.06,3.18,TRUE,500,2024-12-20 07:27:12
CDN000000055,India,289.99,7.13,TRUE,502,2025-12-24 12:52:46
CDN000000056,Japan,65.85,6.15,FALSE,200,2025-12-18 14:24:02
CDN000000057,India,183.68,8.76,FALSE,500,2025-04-11 08:50:27
CDN000000058,Canada,481.31,6.72,FALSE,200,2023-01-05 05:14:04
CDN000000059,India,210.42,1.66,FALSE,400,2024-02-02 19:51:14
CDN000000060,USA,49.50,3.85,FALSE,200,2026-01-09 14:02:31
CDN000000061,Australia,426.22,3.29,FALSE,200,2023-12-04 00:04:19
CDN000000062,Japan,49.51,9.34,FALSE,500,2023-05-04 13:18:46
CDN000000063,UK,52.31,6.30,FALSE,200,2026-03-16 18:17:47
CDN000000064,Canada,459.54,4.93,FALSE,502,2025-02-27 08:07:41
CDN000000065,UK,78.45,1.16,FALSE,200,2025-04-12 06:05:09
CDN000000066,Australia,470.58,5.36,TRUE,200,2024-04-03 07:30:14
CDN000000067,Canada,454.82,8.51,TRUE,400,2026-05-09 11:14:25
CDN000000068,UK,303.20,4.90,TRUE,200,2026-05-15 19:41:16
CDN000000069,USA,189.03,7.34,FALSE,200,2025-10-21 19:16:24
CDN000000070,Germany,447.23,2.56,FALSE,504,2026-05-23 16:29:47
CDN000000071,Canada,423.02,0.16,TRUE,200,2026-06-23 00:04:11
CDN000000072,Australia,174.39,9.27,FALSE,200,2025-09-20 13:12:48
CDN000000073,Germany,73.35,1.83,FALSE,504,2026-03-05 15:08:50
CDN000000074,India,172.14,8.67,FALSE,200,2024-02-04 15:22:20
CDN000000075,UK,489.22,9.29,TRUE,200,2025-02-05 08:07:40
CDN000000076,Germany,311.64,2.42,FALSE,200,2023-11-02 09:30:14
CDN000000077,Germany,313.66,9.92,TRUE,200,2023-05-29 02:17:18
CDN000000078,Australia,426.97,2.20,TRUE,504,2023-06-20 00:31:13
CDN000000079,Australia,427.29,9.81,TRUE,200,2023-04-29 03:46:38
CDN000000080,India,20.23,8.93,FALSE,200,2023-05-30 19:44:06
CDN000000081,Canada,344.67,1.69,TRUE,200,2026-06-16 12:35:41
CDN000000082,UK,342.77,1.63,TRUE,504,2023-07-06 20:24:06
CDN000000083,India,229.00,9.93,FALSE,200,2024-06-24 18:45:25
CDN000000084,USA,143.83,0.10,FALSE,400,2025-09-14 15:00:50
CDN000000085,Japan,179.18,3.46,FALSE,200,2023-10-25 01:18:48
CDN000000086,USA,71.65,2.74,FALSE,200,2026-02-13 18:37:50
CDN000000087,UK,37.84,4.07,FALSE,200,2024-10-25 06:44:53
CDN000000088,Germany,285.87,2.65,TRUE,200,2024-09-30 08:42:58
CDN000000089,Germany,462.99,5.24,TRUE,502,2024-05-05 06:40:31
CDN000000090,Singapore,175.00,4.43,FALSE,200,2024-02-05 12:39:40
CDN000000091,Japan,226.66,2.46,FALSE,200,2025-03-06 00:30:11
CDN000000092,UK,187.85,8.57,FALSE,200,2024-01-22 10:11:19
CDN000000093,USA,297.93,4.29,FALSE,200,2026-04-25 07:51:32
CDN000000094,Canada,457.87,6.37,TRUE,200,2025-11-01 02:12:32
CDN000000095,Canada,453.35,7.80,TRUE,200,2024-08-09 02:26:02
CDN000000096,USA,198.21,4.19,FALSE,200,2024-07-21 18:06:38
CDN000000097,USA,406.93,5.15,TRUE,200,2026-01-23 11:30:47
CDN000000098,Japan,335.08,4.39,TRUE,200,2026-04-21 13:55:33
CDN000000099,Germany,238.39,7.70,FALSE,200,2023-03-11 19:44:56
CDN000000100,Singapore,129.06,6.90,FALSE,400,2026-02-21 14:50:45
CDN000000101,Australia,211.02,8.48,FALSE,200,2026-06-07 03:13:09
CDN000000102,Canada,316.73,1.05,TRUE,200,2026-01-01 11:59:09
CDN000000103,Germany,349.60,6.51,TRUE,200,2025-08-10 02:14:51
CDN000000104,Australia,357.32,5.80,TRUE,500,2023-07-28 20:12:04
CDN000000105,Canada,135.05,8.86,FALSE,200,2024-08-04 13:29:14
CDN000000106,Singapore,291.37,2.80,TRUE,400,2024-06-22 23:33:36
CDN000000107,UK,373.05,5.45,TRUE,502,2025-04-25 21:04:43
CDN000000108,Singapore,337.39,4.17,FALSE,200,2024-02-10 10:46:09
CDN000000109,Canada,309.26,6.96,TRUE,200,2023-01-14 19:40:43
CDN000000110,Germany,72.68,1.69,FALSE,200,2025-04-06 18:11:21
CDN000000111,Germany,303.85,6.60,FALSE,400,2024-09-17 01:12:28
CDN000000112,Singapore,272.92,3.18,FALSE,200,2025-10-22 09:18:26
CDN000000113,Singapore,362.81,1.89,TRUE,200,2024-09-22 19:46:14
CDN000000114,UK,156.00,9.89,FALSE,500,2023-03-31 10:16:57
CDN000000115,USA,357.83,8.02,TRUE,200,2023-10-07 05:08:11
CDN000000116,Australia,179.89,4.54,FALSE,200,2024-02-10 18:05:30
CDN000000117,Japan,161.98,2.43,FALSE,200,2025-05-06 14:41:25
CDN000000118,Australia,472.55,7.10,FALSE,500,2023-03-27 19:24:26
CDN000000119,Singapore,112.41,9.31,FALSE,200,2023-07-08 03:38:11
CDN000000120,USA,140.90,5.16,FALSE,200,2025-01-20 01:51:44
CDN000000121,USA,376.46,9.13,TRUE,504,2023-02-09 23:38:35
CDN000000122,Germany,256.39,5.06,TRUE,504,2023-09-20 21:32:59
CDN000000123,Singapore,340.93,2.03,FALSE,200,2024-01-23 00:59:10
CDN000000124,Japan,101.02,9.13,FALSE,200,2024-10-16 06:51:13
CDN000000125,USA,186.53,6.30,FALSE,200,2026-04-14 22:23:10
CDN000000126,Germany,296.99,9.59,TRUE,504,2025-10-01 12:24:09
CDN000000127,Canada,232.34,7.65,FALSE,200,2024-02-16 20:53:53
CDN000000128,India,384.81,1.95,TRUE,200,2026-06-03 09:40:20
CDN000000129,Japan,350.22,3.78,TRUE,200,2023-10-06 16:10:18
CDN000000130,Japan,362.23,3.75,TRUE,200,2026-03-04 17:19:49
CDN000000131,Canada,268.52,6.38,TRUE,200,2023-01-12 00:44:27
CDN000000132,USA,396.76,6.73,TRUE,504,2026-03-13 06:42:17
CDN000000133,Singapore,377.53,9.76,TRUE,200,2024-01-10 09:53:19
CDN000000134,Germany,76.80,6.72,FALSE,500,2024-06-11 23:29:34
CDN000000135,USA,488.46,9.97,TRUE,500,2025-07-22 19:22:59
CDN000000136,USA,327.15,9.60,TRUE,200,2026-06-08 14:49:17
CDN000000137,Singapore,131.28,6.56,FALSE,200,2024-05-02 15:02:19
CDN000000138,India,30.29,0.26,FALSE,502,2024-02-20 03:55:27
CDN000000139,USA,210.53,5.04,FALSE,200,2025-04-08 10:05:14
CDN000000140,Germany,455.47,8.30,TRUE,200,2025-05-25 23:20:55
CDN000000141,Germany,482.33,0.60,TRUE,200,2024-08-25 16:25:22
CDN000000142,UK,365.83,8.83,TRUE,200,2024-01-14 06:41:15
CDN000000143,USA,146.36,4.19,FALSE,200,2024-05-23 01:28:23
CDN000000144,USA,96.56,6.71,FALSE,200,2024-06-16 08:02:34
CDN000000145,Germany,268.43,0.64,FALSE,200,2026-01-30 11:15:39
CDN000000146,Singapore,235.51,5.70,FALSE,200,2023-08-28 03:02:08
CDN000000147,Japan,78.63,3.63,FALSE,200,2025-08-13 05:20:18
CDN000000148,Japan,394.67,5.46,TRUE,200,2026-06-06 07:20:29
CDN000000149,India,288.87,6.82,FALSE,200,2024-10-08 20:15:10
CDN000000150,Australia,420.49,1.61,TRUE,200,2023-10-24 23:47:47
CDN000000151,Australia,150.48,8.47,FALSE,400,2026-05-02 04:34:46
CDN000000152,Singapore,213.49,5.79,FALSE,502,2023-07-15 08:09:02
CDN000000153,UK,144.91,8.70,FALSE,200,2024-07-22 18:28:36
CDN000000154,USA,239.50,4.82,FALSE,200,2026-01-31 12:37:20
CDN000000155,UK,228.11,9.06,FALSE,200,2024-05-25 14:55:01
CDN000000156,Australia,210.81,7.73,FALSE,200,2025-11-02 14:03:18
CDN000000157,Germany,91.40,6.05,FALSE,502,2023-11-29 11:07:39
CDN000000158,Canada,341.52,3.64,TRUE,200,2025-09-14 12:15:15
CDN000000159,UK,113.92,9.67,FALSE,500,2023-06-23 20:15:04
CDN000000160,UK,155.88,4.09,FALSE,504,2023-08-29 07:46:15
CDN000000161,India,92.36,3.68,FALSE,200,2025-09-04 11:22:27
CDN000000162,Canada,492.54,1.77,TRUE,400,2025-02-22 10:46:28
CDN000000163,Canada,454.49,9.95,TRUE,200,2023-04-19 20:11:04
CDN000000164,Japan,215.23,4.08,TRUE,200,2023-12-24 20:22:49
CDN000000165,Japan,465.46,9.85,FALSE,200,2025-03-28 15:05:16
CDN000000166,Australia,43.82,9.00,FALSE,500,2025-06-02 21:18:44
CDN000000167,Japan,101.55,0.56,FALSE,200,2024-06-21 04:08:30
CDN000000168,Japan,80.88,6.19,FALSE,200,2026-01-27 09:15:26
CDN000000169,UK,344.45,6.31,TRUE,400,2025-05-20 18:24:56
CDN000000170,Germany,164.49,6.25,FALSE,200,2026-06-03 07:46:02
CDN000000171,USA,243.33,0.59,FALSE,400,2025-09-30 12:05:38
CDN000000172,Australia,381.18,4.97,TRUE,200,2025-08-17 05:36:27
CDN000000173,Canada,259.21,4.86,TRUE,400,2023-06-27 18:37:58
CDN000000174,Australia,425.07,7.60,TRUE,200,2026-04-24 16:00:07
CDN000000175,Canada,447.85,0.03,TRUE,500,2023-02-17 16:54:23
CDN000000176,India,194.98,7.37,TRUE,200,2025-08-12 11:41:58
CDN000000177,USA,74.84,7.56,FALSE,200,2024-07-09 06:47:38
CDN000000178,Germany,328.10,6.50,FALSE,502,2024-04-07 15:07:46
CDN000000179,UK,276.95,0.96,TRUE,200,2024-09-24 13:46:46
CDN000000180,Singapore,475.14,2.20,TRUE,200,2025-07-15 17:36:22
CDN000000181,Australia,341.44,9.24,TRUE,502,2024-01-15 21:21:45
CDN000000182,Australia,268.17,8.62,TRUE,200,2024-08-30 06:45:18
CDN000000183,Australia,71.90,0.61,FALSE,200,2023-09-21 20:59:39
CDN000000184,Singapore,210.59,2.76,FALSE,502,2025-09-16 22:23:46
CDN000000185,Australia,237.11,1.03,FALSE,200,2023-09-07 08:12:35
CDN000000186,UK,64.51,2.75,FALSE,400,2023-10-13 10:55:06
CDN000000187,Japan,308.91,8.15,FALSE,400,2024-12-19 20:19:55
CDN000000188,Germany,194.18,5.09,FALSE,504,2024-11-16 10:47:39
CDN000000189,USA,408.09,7.35,TRUE,200,2025-12-17 22:15:38
CDN000000190,Japan,210.67,2.77,FALSE,200,2025-05-10 10:36:48
CDN000000191,India,158.18,9.19,FALSE,500,2023-09-19 03:48:21
CDN000000192,Germany,387.53,7.32,FALSE,400,2024-03-19 23:15:30
CDN000000193,USA,328.57,5.80,TRUE,200,2023-12-11 12:41:48
CDN000000194,Japan,432.24,4.09,TRUE,504,2025-11-30 08:02:26
CDN000000195,Singapore,140.38,5.06,FALSE,200,2025-03-31 17:59:50
CDN000000196,UK,497.40,0.29,TRUE,200,2023-04-29 12:26:24
CDN000000197,Australia,496.21,2.48,TRUE,200,2025-03-27 05:35:39
