search_id,user_id,search_query,recommended_content,clicked_content,recommendation_score,search_timestamp
SRCH00000001,USER002696,Sci-Fi,CONT000911,CONT000076,0.79,2024-09-27 21:08:34
SRCH00000002,USER000783,Drama,CONT000259,CONT000896,0.58,2025-11-22 08:22:38
SRCH00000003,USER002423,IPL,CONT000051,CONT000445,0.59,2023-06-25 17:10:40
SRCH00000004,USER001233,KDrama,CONT000666,CONT000666,1.00,2025-01-04 14:56:07
SRCH00000005,USER002982,Sci-Fi,CONT000873,CONT000873,0.12,2024-11-07 12:35:54
SRCH00000006,USER001138,KDrama,CONT000318,CONT000318,0.82,2023-03-09 08:13:18
SRCH00000007,USER000751,Documentary,CONT000409,CONT000704,0.28,2024-11-11 02:22:41
SRCH00000008,USER001278,Action Movies,CONT000620,CONT000860,0.41,2023-06-12 17:30:42
SRCH00000009,USER001537,Anime,CONT000557,CONT000714,0.39,2024-10-11 15:47:59
SRCH00000010,USER002532,Sci-Fi,CONT000439,CONT000439,0.37,2024-05-05 08:09:38
SRCH00000011,USER001045,Kids,CONT000555,CONT000555,0.71,2023-06-25 04:15:29
SRCH00000012,USER000021,Marvel,CONT000987,CONT000987,0.78,2024-06-12 04:10:42
SRCH00000013,USER000997,Sci-Fi,CONT000835,CONT000649,0.96,2024-04-10 02:01:25
SRCH00000014,USER000477,Sci-Fi,CONT000468,CONT000522,0.62,2023-03-26 23:18:20
SRCH00000015,USER000085,Anime,CONT000189,CONT000733,0.52,2024-08-07 08:51:53
SRCH00000016,USER000301,KDrama,CONT000303,CONT000364,0.96,2023-12-11 13:17:36
SRCH00000017,USER000256,Action Movies,CONT000291,CONT000291,0.90,2024-01-17 08:20:08
SRCH00000018,USER002862,Comedy,CONT000550,CONT000550,0.08,2025-12-01 18:48:19
SRCH00000019,USER000243,Action Movies,CONT000628,CONT000344,0.30,2025-04-09 02:17:26
SRCH00000020,USER001817,Drama,CONT000256,CONT000256,0.88,2025-09-06 21:17:03
SRCH00000021,USER001837,Documentary,CONT000928,CONT000065,0.77,2026-03-08 05:32:41
SRCH00000022,USER000996,Kids,CONT000793,CONT000793,0.50,2023-07-12 04:39:48
SRCH00000023,USER002693,Sci-Fi,CONT000852,CONT000852,0.87,2024-02-08 22:00:28
SRCH00000024,USER000693,Action Movies,CONT000784,CONT000784,0.47,2025-01-22 00:43:09
SRCH00000025,USER001242,Anime,CONT000816,CONT000927,0.02,2024-12-02 10:59:55
SRCH00000026,USER002998,Anime,CONT000380,CONT000380,0.84,2023-04-14 18:02:46
SRCH00000027,USER002134,Action Movies,CONT000529,CONT000993,0.30,2026-05-11 00:12:17
SRCH00000028,USER002694,Comedy,CONT000218,CONT000218,0.60,2024-08-30 11:57:10
SRCH00000029,USER002207,Action Movies,CONT000555,CONT000555,0.74,2025-09-02 08:45:09
SRCH00000030,USER002285,KDrama,CONT000081,CONT000549,0.29,2026-02-03 22:29:03
SRCH00000031,USER000889,IPL,CONT000833,CONT000298,0.02,2024-02-10 11:48:50
SRCH00000032,USER000003,Sci-Fi,CONT000173,CONT000173,0.22,2023-07-31 09:09:21
SRCH00000033,USER001630,Documentary,CONT000774,CONT000852,0.20,2024-02-19 23:34:11
SRCH00000034,USER000354,Kids,CONT000298,CONT000818,0.93,2023-01-17 04:47:52
SRCH00000035,USER000811,Anime,CONT000593,CONT000593,0.24,2025-08-31 09:07:15
SRCH00000036,USER001126,Comedy,CONT000122,CONT000122,0.18,2023-09-03 04:43:41
SRCH00000037,USER000424,Action Movies,CONT000300,CONT000807,0.60,2025-06-02 02:33:45
SRCH00000038,USER002527,Sci-Fi,CONT000250,CONT000250,0.49,2024-12-18 09:30:54
SRCH00000039,USER001554,KDrama,CONT000391,CONT000661,0.21,2024-09-20 17:46:03
SRCH00000040,USER000422,KDrama,CONT000571,CONT000170,0.61,2023-07-20 23:57:42
SRCH00000041,USER001497,IPL,CONT000878,CONT000878,0.16,2025-02-14 16:49:48
SRCH00000042,USER001971,Sci-Fi,CONT000236,CONT000174,0.79,2024-10-30 20:49:47
SRCH00000043,USER000672,Sci-Fi,CONT000472,CONT000071,0.37,2024-02-20 01:40:01
SRCH00000044,USER002546,Kids,CONT000975,CONT000975,0.92,2025-08-28 09:16:02
SRCH00000045,USER001098,Kids,CONT000564,CONT000564,0.92,2024-03-04 15:45:51
SRCH00000046,USER002808,Sci-Fi,CONT000278,CONT000611,0.58,2023-12-09 08:04:31
SRCH00000047,USER001753,Sci-Fi,CONT000051,CONT000583,0.20,2024-04-24 06:24:07
SRCH00000048,USER001736,Documentary,CONT000226,CONT000226,0.90,2026-05-25 08:58:32
SRCH00000049,USER002041,Kids,CONT000250,CONT000250,0.83,2023-06-04 15:04:53
SRCH00000050,USER001212,Sci-Fi,CONT000754,CONT000551,0.57,2024-02-15 10:47:39
SRCH00000051,USER002376,Kids,CONT000482,CONT000166,0.23,2024-05-03 14:40:12
SRCH00000052,USER001907,IPL,CONT000488,CONT000401,0.25,2024-11-03 11:25:33
SRCH00000053,USER000761,Drama,CONT000941,CONT000553,0.57,2025-03-06 16:02:04
SRCH00000054,USER000217,Kids,CONT000642,CONT000173,0.43,2026-01-12 03:17:37
SRCH00000055,USER000066,Marvel,CONT000647,CONT000647,0.09,2025-07-10 22:35:26
SRCH00000056,USER001441,Marvel,CONT000544,CONT000544,0.21,2023-12-06 13:23:45
SRCH00000057,USER001999,Drama,CONT000147,CONT000147,0.57,2025-05-15 02:05:38
SRCH00000058,USER002527,Comedy,CONT000068,CONT000721,0.08,2023-06-06 04:12:23
SRCH00000059,USER002408,Marvel,CONT000353,CONT000379,0.31,2023-06-25 01:11:25
SRCH00000060,USER000532,Marvel,CONT000822,CONT000987,0.57,2023-06-19 17:46:13
SRCH00000061,USER002737,IPL,CONT000310,CONT000310,0.57,2023-10-25 09:22:24
SRCH00000062,USER000072,KDrama,CONT000133,CONT000375,0.12,2023-05-29 21:16:39
SRCH00000063,USER001498,Anime,CONT000126,CONT000520,0.64,2025-04-23 10:35:09
SRCH00000064,USER000594,Sci-Fi,CONT000925,CONT000292,0.11,2025-07-16 02:57:22
SRCH00000065,USER002757,Kids,CONT000858,CONT000858,0.27,2023-12-15 04:33:31
SRCH00000066,USER002144,Drama,CONT000761,CONT000118,0.26,2023-06-10 18:17:25
SRCH00000067,USER002605,Marvel,CONT000828,CONT000828,0.93,2023-07-12 10:55:01
SRCH00000068,USER001505,Drama,CONT000079,CONT000272,0.82,2024-03-10 17:36:52
SRCH00000069,USER002349,Documentary,CONT000730,CONT000619,0.64,2024-11-20 18:35:54
SRCH00000070,USER001183,Marvel,CONT000711,CONT000705,0.14,2026-03-15 16:53:14
SRCH00000071,USER000839,Action Movies,CONT000477,CONT000560,0.56,2025-07-14 21:16:14
SRCH00000072,USER000170,Action Movies,CONT000208,CONT000189,0.73,2023-01-28 17:46:57
SRCH00000073,USER002692,Sci-Fi,CONT000514,CONT000514,0.47,2025-03-09 10:20:00
SRCH00000074,USER000289,Marvel,CONT000587,CONT000766,0.52,2024-01-07 07:21:36
SRCH00000075,USER002421,Action Movies,CONT000605,CONT000509,0.17,2024-06-06 22:59:22
SRCH00000076,USER000899,KDrama,CONT000022,CONT000510,0.45,2025-06-17 12:13:42
SRCH00000077,USER000161,Comedy,CONT000808,CONT000919,0.20,2023-01-23 21:24:08
SRCH00000078,USER002202,Documentary,CONT000683,CONT000318,0.62,2024-04-09 04:48:30
SRCH00000079,USER000576,Marvel,CONT000004,CONT000004,0.17,2023-09-01 06:20:42
SRCH00000080,USER002618,Documentary,CONT000726,CONT000659,0.67,2024-11-24 16:21:19
SRCH00000081,USER002417,Drama,CONT000616,CONT000094,0.73,2023-08-09 16:17:55
SRCH00000082,USER002096,Marvel,CONT000365,CONT000696,0.01,2023-12-11 13:52:45
SRCH00000083,USER001097,Comedy,CONT000554,CONT000554,0.03,2023-10-03 08:00:53
SRCH00000084,USER001313,Documentary,CONT000636,CONT000431,0.37,2024-01-25 00:36:03
SRCH00000085,USER000206,Anime,CONT000128,CONT000128,0.89,2026-01-17 13:49:17
SRCH00000086,USER001756,Marvel,CONT000068,CONT000280,0.46,2024-02-17 04:35:43
SRCH00000087,USER001161,IPL,CONT000834,CONT000332,0.49,2023-06-18 05:24:31
SRCH00000088,USER002438,Kids,CONT000993,CONT000078,0.48,2026-03-12 09:13:21
SRCH00000089,USER002444,Documentary,CONT000139,CONT000139,0.56,2026-01-24 14:47:37
SRCH00000090,USER000223,IPL,CONT000372,CONT000711,0.31,2024-03-26 15:34:42
SRCH00000091,USER001513,KDrama,CONT000755,CONT000755,0.98,2025-03-10 23:14:56
SRCH00000092,USER002874,Anime,CONT000428,CONT000428,0.82,2024-06-17 14:08:49
SRCH00000093,USER001300,Comedy,CONT000375,CONT000375,0.91,2024-09-24 23:42:34
SRCH00000094,USER002412,KDrama,CONT000972,CONT000744,0.35,2024-01-08 08:30:49
SRCH00000095,USER000572,Kids,CONT000920,CONT000920,0.99,2025-09-10 22:25:16
SRCH00000096,USER001525,Marvel,CONT000251,CONT000947,0.36,2024-10-21 09:59:07
SRCH00000097,USER002473,Action Movies,CONT000988,CONT000064,0.02,2023-03-08 01:21:19
