transaction_id,user_id,plan_type,subscription_amount,payment_mode,payment_status,renewal_status,transaction_timestamp
SUB00000001,USER001961,Basic,297.17,Wallet,Success,Expired,2025-03-29 20:15:51
SUB00000002,USER002384,Premium,802.22,Wallet,Pending,Expired,2024-04-10 13:35:09
SUB00000003,USER001488,Premium,631.95,Card,Pending,Expired,2024-12-14 04:07:19
SUB00000004,USER001467,Premium,910.76,NetBanking,Pending,Expired,2023-05-10 07:18:56
SUB00000005,USER000362,Premium,718.58,UPI,Success,Active,2023-10-25 23:57:23
SUB00000006,USER001422,Basic,292.05,UPI,Success,Cancelled,2025-11-11 18:27:44
SUB00000007,USER001944,Family,853.57,Wallet,Success,Expired,2023-06-05 03:05:51
SUB00000008,USER002193,Premium,598.40,Card,Pending,Active,2024-05-06 08:13:34
SUB00000009,USER002661,Basic,277.59,Card,Success,Expired,2025-03-30 21:02:18
SUB00000010,USER002911,Premium,748.20,NetBanking,Success,Cancelled,2026-03-20 01:11:01
SUB00000011,USER001669,Basic,332.86,Card,Pending,Active,2025-02-05 23:25:40
SUB00000012,USER001163,Premium,907.38,Wallet,Success,Expired,2026-05-02 01:32:55
SUB00000013,USER000367,Family,1182.76,Card,Success,Cancelled,2026-04-21 11:36:53
SUB00000014,USER000509,Sports,670.35,UPI,Success,Cancelled,2023-04-03 23:40:47
SUB00000015,USER002040,Basic,315.55,Wallet,Failed,Expired,2024-06-30 01:15:48
SUB00000016,USER000458,Sports,537.58,NetBanking,Success,Cancelled,2024-02-02 19:53:38
SUB00000017,USER001811,Premium,970.27,Card,Success,Expired,2023-10-02 14:48:17
SUB00000018,USER001282,Basic,257.96,Wallet,Success,Expired,2023-08-03 20:29:12
SUB00000019,USER002079,Basic,214.71,Wallet,Success,Expired,2026-05-21 17:38:39
SUB00000020,USER000572,Sports,337.33,UPI,Success,Active,2023-09-30 01:58:33
SUB00000021,USER001296,Premium,663.03,UPI,Success,Cancelled,2024-06-04 06:44:06
SUB00000022,USER001649,Basic,300.74,NetBanking,Failed,Active,2026-04-26 19:29:46
SUB00000023,USER002909,Sports,536.09,NetBanking,Failed,Cancelled,2023-11-12 19:00:59
SUB00000024,USER000500,Sports,615.74,NetBanking,Pending,Expired,2024-11-12 17:08:06
SUB00000025,USER001847,Sports,613.40,Card,Pending,Expired,2024-07-17 21:52:00
SUB00000026,USER000128,Sports,471.22,NetBanking,Failed,Expired,2023-01-19 05:29:18
SUB00000027,USER002420,Sports,304.76,Wallet,Success,Expired,2025-02-16 21:00:31
SUB00000028,USER001868,Basic,311.11,NetBanking,Success,Expired,2023-03-27 04:28:16
SUB00000029,USER000095,Basic,306.33,Wallet,Failed,Cancelled,2023-08-22 20:30:01
SUB00000030,USER000417,Basic,320.08,Wallet,Success,Cancelled,2024-12-03 16:48:46
SUB00000031,USER002550,Basic,342.17,Card,Failed,Active,2023-01-01 11:23:24
SUB00000032,USER001596,Sports,579.33,Card,Success,Expired,2025-12-31 01:52:27
SUB00000033,USER001923,Sports,532.30,UPI,Success,Expired,2023-12-18 03:35:08
SUB00000034,USER000863,Basic,328.20,Wallet,Success,Expired,2025-04-25 09:04:51
SUB00000035,USER002498,Basic,311.53,UPI,Success,Expired,2023-12-31 14:20:36
SUB00000036,USER002707,Premium,883.77,Card,Failed,Active,2024-02-07 05:43:53
SUB00000037,USER000099,Basic,297.27,NetBanking,Success,Expired,2023-08-26 09:50:20
SUB00000038,USER002994,Basic,266.14,NetBanking,Success,Expired,2023-01-01 14:23:16
SUB00000039,USER001205,Sports,450.62,UPI,Pending,Active,2024-09-26 09:27:26
SUB00000040,USER000756,Family,1299.63,UPI,Success,Expired,2025-10-04 16:46:56
SUB00000041,USER000738,Premium,744.52,NetBanking,Failed,Cancelled,2024-11-21 08:43:04
SUB00000042,USER001292,Family,933.66,NetBanking,Failed,Cancelled,2025-03-25 13:07:37
SUB00000043,USER002538,Family,809.63,UPI,Success,Active,2024-09-10 23:42:26
SUB00000044,USER002110,Basic,270.90,Wallet,Success,Expired,2024-10-23 11:34:20
SUB00000045,USER001961,Basic,321.52,Wallet,Success,Cancelled,2024-01-07 21:16:47
SUB00000046,USER000198,Sports,454.41,NetBanking,Success,Expired,2023-10-31 16:28:49
SUB00000047,USER001679,Sports,561.21,NetBanking,Success,Expired,2023-03-15 02:41:36
SUB00000048,USER000387,Family,1222.98,Wallet,Pending,Active,2024-07-23 07:02:14
SUB00000049,USER000798,Premium,786.35,NetBanking,Success,Active,2024-01-08 14:42:12
SUB00000050,USER001561,Family,871.30,Card,Success,Active,2025-07-01 08:10:13
SUB00000051,USER002240,Family,1446.86,Card,Success,Expired,2025-07-15 05:07:49
SUB00000052,USER000506,Premium,780.18,Card,Failed,Expired,2024-11-26 12:22:24
SUB00000053,USER002262,Basic,387.19,UPI,Failed,Cancelled,2026-04-17 17:41:03
SUB00000054,USER002636,Sports,686.16,UPI,Success,Expired,2024-04-09 07:08:13
SUB00000055,USER000014,Sports,433.79,UPI,Success,Expired,2024-07-09 01:32:01
SUB00000056,USER000011,Basic,348.03,Wallet,Success,Active,2023-07-25 00:15:25
SUB00000057,USER002499,Sports,667.18,NetBanking,Success,Active,2025-05-29 19:28:05
SUB00000058,USER002770,Family,810.65,NetBanking,Pending,Expired,2023-02-20 13:52:00
SUB00000059,USER001952,Family,857.25,Card,Failed,Cancelled,2025-12-28 01:30:31
SUB00000060,USER001168,Sports,582.13,UPI,Success,Expired,2024-09-14 14:57:21
SUB00000061,USER001416,Family,850.10,NetBanking,Success,Cancelled,2024-04-25 14:06:57
SUB00000062,USER002410,Sports,395.34,UPI,Pending,Active,2024-01-08 21:11:42
SUB00000063,USER000248,Family,1027.92,NetBanking,Success,Cancelled,2024-11-23 11:47:55
SUB00000064,USER001138,Family,921.79,Wallet,Pending,Expired,2023-10-22 07:50:04
SUB00000065,USER002566,Sports,527.51,UPI,Success,Expired,2024-03-23 03:02:14
SUB00000066,USER002870,Basic,369.19,NetBanking,Success,Active,2026-04-02 13:16:38
SUB00000067,USER002827,Premium,503.02,Card,Success,Expired,2026-01-13 04:21:42
SUB00000068,USER000323,Basic,342.80,Wallet,Success,Active,2026-04-02 12:27:12
SUB00000069,USER001923,Basic,239.70,NetBanking,Pending,Cancelled,2024-04-11 23:06:13
SUB00000070,USER001877,Family,807.80,UPI,Success,Expired,2025-11-18 06:57:01
SUB00000071,USER000813,Premium,855.56,Wallet,Failed,Active,2026-04-01 13:13:48
SUB00000072,USER000075,Family,1011.32,NetBanking,Success,Cancelled,2024-09-16 21:09:31
SUB00000073,USER000992,Basic,255.33,UPI,Failed,Cancelled,2025-06-21 00:56:25
SUB00000074,USER000847,Family,1328.33,NetBanking,Success,Cancelled,2024-03-08 03:35:19
SUB00000075,USER002464,Family,1388.93,Card,Success,Active,2025-09-06 06:38:17
SUB00000076,USER000101,Basic,367.94,UPI,Success,Expired,2025-06-21 19:59:28
SUB00000077,USER000160,Premium,910.41,Card,Success,Cancelled,2024-12-06 00:44:50
SUB00000078,USER001042,Premium,628.63,Wallet,Success,Active,2025-09-14 22:07:20
SUB00000079,USER001850,Family,932.51,UPI,Failed,Expired,2023-12-02 17:36:00
SUB00000080,USER001507,Family,1227.43,Wallet,Failed,Active,2025-04-05 18:34:50
SUB00000081,USER002749,Basic,232.49,NetBanking,Success,Active,2023-07-21 00:10:36
SUB00000082,USER002599,Basic,330.36,Wallet,Success,Expired,2025-06-01 12:38:26
SUB00000083,USER002553,Sports,521.87,NetBanking,Success,Expired,2023-04-05 04:12:54
SUB00000084,USER001241,Sports,510.46,Wallet,Success,Expired,2025-09-04 04:50:40
SUB00000085,USER001716,Sports,606.45,UPI,Success,Cancelled,2025-04-13 16:58:59
SUB00000086,USER001855,Basic,269.96,UPI,Failed,Cancelled,2023-01-01 13:42:08
SUB00000087,USER001054,Sports,476.40,NetBanking,Success,Active,2023-05-27 11:47:40
SUB00000088,USER002476,Basic,269.49,Wallet,Success,Cancelled,2023-08-10 00:41:06
SUB00000089,USER001734,Premium,799.80,Card,Success,Cancelled,2024-10-01 20:50:25
SUB00000090,USER001999,Basic,274.83,Card,Success,Active,2026-02-07 02:31:38
SUB00000091,USER000177,Sports,394.05,Wallet,Success,Active,2024-06-29 17:59:36
SUB00000092,USER002971,Premium,960.38,NetBanking,Pending,Cancelled,2025-11-27 12:56:18
SUB00000093,USER002249,Sports,671.32,Wallet,Success,Active,2024-04-13 19:48:07
SUB00000094,USER001555,Family,1187.19,Card,Pending,Cancelled,2026-02-18 03:54:48
SUB00000095,USER001616,Sports,658.56,Wallet,Success,Cancelled,2025-04-25 03:19:27
SUB00000096,USER001127,Sports,593.72,NetBanking,Success,Cancelled,2025-05-31 19:07:38
SUB00000097,USER002335,Premium,580.91,Wallet,Success,Cancelled,2024-09-04 17:27:18
SUB00000098,USER000170,Basic,211.05,NetBanking,Failed,Cancelled,2025-10-29 15:52:19
SUB00000099,USER001398,Sports,364.11,UPI,Failed,Cancelled,2025-02-21 12:24:51
SUB00000100,USER000460,Premium,599.84,NetBanking,Failed,Expired,2026-06-21 20:44:24
SUB00000101,USER001838,Premium,702.72,Wallet,Success,Cancelled,2024-01-23 08:22:06
SUB00000102,USER002635,Family,1232.71,Wallet,Pending,Active,2024-01-12 02:58:46
SUB00000103,USER000543,Sports,514.36,NetBanking,Success,Cancelled,2025-11-20 18:25:19
SUB00000104,USER000396,Sports,358.19,UPI,Success,Cancelled,2023-02-26 15:12:45
SUB00000105,USER000505,Basic,264.10,NetBanking,Pending,Active,2024-01-17 21:22:45
