table_name,column_name,data_type
app_clickstream_events,click_id,character varying
app_clickstream_events,user_id,integer
app_clickstream_events,screen_name,character varying
app_clickstream_events,click_action,character varying
app_clickstream_events,session_duration,numeric
app_clickstream_events,crash_flag,boolean
app_clickstream_events,event_timestamp,timestamp without time zone
cdn_buffering_logs,cdn_event_id,character varying
cdn_buffering_logs,server_region,character varying
cdn_buffering_logs,latency,numeric
cdn_buffering_logs,packet_loss,numeric
cdn_buffering_logs,buffering_spike,numeric
cdn_buffering_logs,failure_code,character varying
cdn_buffering_logs,event_timestamp,timestamp without time zone
content_metadata,content_id,character varying
content_metadata,genre,character varying
content_metadata,release_date,date
content_metadata,language,character varying
content_metadata,duration_minutes,integer
content_metadata,rating,numeric
content_metadata,production_studio,character varying
search_recommendation_logs,search_id,character varying
search_recommendation_logs,user_id,integer
search_recommendation_logs,search_query,character varying
search_recommendation_logs,content_id,character varying
search_recommendation_logs,clicked_content,character varying
search_recommendation_logs,recommendation_score,numeric
search_recommendation_logs,search_timestamp,timestamp without time zone
subscription_transactions,transaction_id,character varying
subscription_transactions,user_id,integer
subscription_transactions,plan_type,character varying
subscription_transactions,subscription_amount,numeric
subscription_transactions,payment_mode,character varying
subscription_transactions,payment_status,character varying
subscription_transactions,renewal_status,character varying
subscription_transactions,transaction_timestamp,timestamp without time zone
user_watch_history,watch_id,character varying
user_watch_history,user_id,integer
user_watch_history,content_id,character varying
user_watch_history,content_category,character varying
user_watch_history,watch_time,numeric
user_watch_history,completion_rate,numeric
user_watch_history,pause_count,integer
user_watch_history,skip_count,integer
user_watch_history,region,character varying
users,user_id,integer
users,account_created_date,date
users,account_status,character varying
video_streaming_sessions,session_id,character varying
video_streaming_sessions,user_id,integer
video_streaming_sessions,content_id,character varying
video_streaming_sessions,device_type,character varying
video_streaming_sessions,stream_quality,character varying
video_streaming_sessions,watch_duration,numeric
video_streaming_sessions,buffering_time,numeric
video_streaming_sessions,session_status,character varying
video_streaming_sessions,session_timestamp,timestamp without time zone
